Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6
Productname,wrap and strap pants,"=image(""http://www.lungotavolo.it/wp-content/uploads/2015/12/LTSP101a.jpg"")",,,,
Producttype,Pants,White,Mid,,,
Suggested Sex,Unisex,Donna,Uomo,,,
Ref.,LT SP 101,,,,,
Series,Summer,,,,,
Limited Edition,1/400,,,,,
Designer,Sergio Perruci,,,,,
Year,2015,,,,,
In Collaboration with,cws,,,,,
Description,Pants in Italian linen with a double wrap belted waist in signature black double satin. Wear them with the belt wrapped twice around your waist and let the extra length of the ribbon flow loosely along your leg,"=image(""https://s-media-cache-ak0.pinimg.com/564x/26/b3/a5/26b3a584ecbe16bd5dbb00c36895265f.jpg"")","=image(""https://s-media-cache-ak0.pinimg.com/originals/4c/c8/74/4cc874b4f7f8dc25fa92138a2eed94a4.png"")",,,
Detail,wrap front panel detail raw cut on the grain taped edges and hems sandwich bonded belt double satin ribbon invisible selvedge ribbon width 2.5 cm ribbon length from waist 40 cm rectangular double ring buckle raw stainless steel nickel free hem label at strap tip entirely made in Italy,"=image(""http://www.lungotavolo.it/wp-content/uploads/2015/12/LTSP101g.jpg"")","=image(""http://www.lungotavolo.it/wp-content/uploads/2015/12/LTSP101c.jpg"")",,,
Fabric 1,Linen,100%,,,,
Origin,Italy,,,,,
Colour 1,White,"=image (""http://www.lungotavolo.it/wp-content/uploads/2016/05/colwhite.jpg"")",,,,
Pantone,PANTONE 11-4001 TPG,,,,,
HEX/HTML,EFF0F1,,,,,
Colour 2,Khaki,"=image(""http://www.lungotavolo.it/wp-content/uploads/2016/05/colkhaki.jpg"")",,,,
Pantone,PANTONE 15-1216 TPX,,,,,
HEX/HTML,C0B290,,,,,
Colour 3,Stone,"=image(""http://www.lungotavolo.it/wp-content/uploads/2016/05/colgrey.jpg"")",,,,
Pantone,PANTONE PQ-CoolGray8C,,,,,
HEX/HTML,888B8D,,,,,
Ref.,LT SP 101,,,,,
Series,Print,,,,,
Limited Edition,1/400,,,,,
Designer,Sergio Perruci,,,,,
Year,2016,,,,,
In Collaboration with,cws,,,,,
Background Colour 3 ,Stripes,"=image(""http://www.lungotavolo.it/wp-content/uploads/2016/09/colstripe.jpg"")",,,,
Pantone,PANTONE 11-4001 TPG,,,,,
HEX/HTML,EFF0F1,,,,,
Pantone,PANTONE 19-0000 TPG,,,,,
HEX/HTML,454546,,,,,
Background  Colour 1  ,Dots,"=image(""http://www.lungotavolo.it/wp-content/uploads/2016/09/colpois.jpg"")",,,,
Pantone,PANTONE 11-4001 TPG,,,,,
HEX/HTML,EFF0F1,,,,,
Pantone,PANTONE 19-0000 TPG,,,,,
HEX/HTML,454546,,,,,
Sizes Available,XS:waist:74cm,S:waist:80cm,M:waist:84cm,L:waist:88cm,XL:waist:92cm,XXL:waist:96cm
Price,EUR 270,USD 289,GBP 229,CAD 389,,
Aesthetic,#Elegant,#Leisure,#Italian,#Minimalism,#Zen,
Quality Trait,"=""Made in Italy""",Fair Labour,Sustainable,Verified Product,,
Quality Seal,"=image(""https://d30y9cdsu7xlg0.cloudfront.net/png/666115-200.png"")","=image(""https://d30y9cdsu7xlg0.cloudfront.net/png/580362-200.png"")","=image(""https://d30y9cdsu7xlg0.cloudfront.net/png/580361-200.png"")","=image(""https://d30y9cdsu7xlg0.cloudfront.net/png/204428-200.png"")",,
Quality Statement,Produced in Italy according to Italian Law.,Produced under fair labour conditions according International Labour Organization. Excelling standards according to internal code of ethics.,"Produced under ecologically sustainable conditions according to the statues of rainforest Alliance, Certified Supply Chain. Business auditited and advised by Eco Age Ltd",This Garment was designed to inspire you. Believe in the beauty of imagination -  unapolagetically! Have the courage to be who you want to be. This will set you free. ,,
Designed by,Sergio Perruci,"=image(""https://s-media-cache-ak0.pinimg.com/originals/1b/cd/ce/1bcdce55fba1809a7639b5e2235f068b.png"")",CWS,"=image(""https://s-media-cache-ak0.pinimg.com/originals/8d/3b/cc/8d3bcc1b1b148d4f741cc19303a35820.png"")",,
Country of Production,Italy,"=image (""https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/2000px-Flag_of_Italy.svg.png"")",,,,
Designed Studio,10144 Turin,"Via Treviso, 45","=image(""https://s-media-cache-ak0.pinimg.com/564x/91/70/13/9170135385ce2441ad75970fc18d408d.jpg"")","=image(""https://s-media-cache-ak0.pinimg.com/564x/6b/ce/b9/6bceb98a5d7620cac2374534e3dbfb1b.jpg"")",,
Produced in,12051 Alba,,"=image(""https://s-media-cache-ak0.pinimg.com/originals/e0/01/86/e0018641c80d305614bf19643425cd26.png"")","=image(""http://www.anselmaitalia.com/img_sito/testata/homepage/ristorante-italia_05.jpg"")",,
